model_name,training_method,optimizer,attack_type,final_epoch,total_time_seconds,total_time_minutes,total_time_hours,clean_test_error,clean_test_accuracy,adv_test_error,adv_test_accuracy,robustness_gap,clean_train_error,adv_train_error
fast_adam_l2,fast,adam,l2,20,2682.8492,44.7142,0.7452,33.7100,66.2900,61.0300,38.9700,27.3200,33.9640,61.5240
fast_adam_l2muon,fast,adam,l2muon,20,2714.5873,45.2431,0.7541,35.9000,64.1000,58.3400,41.6600,22.4400,35.4880,59.1040
fast_muon_l2,fast,muon,l2,20,2782.4601,46.3743,0.7729,9.6900,90.3100,41.2400,58.7600,31.5500,2.8200,31.9940
fast_muon_l2muon,fast,muon,l2muon,20,2808.6660,46.8111,0.7802,9.5600,90.4400,40.8900,59.1100,31.3300,2.7920,31.5100
fast_sgd_l2,fast,sgd,l2,20,2669.0869,44.4848,0.7414,15.9200,84.0800,45.7400,54.2600,29.8200,12.0020,42.6120
fast_sgd_l2muon,fast,sgd,l2muon,20,2714.8025,45.2467,0.7541,16.6500,83.3500,44.0700,55.9300,27.4200,12.7160,41.0380
free_adam_l2,free,adam,l2,20,3240.3613,54.0060,0.9001,35.9100,64.0900,57.3400,42.6600,21.4300,35.8980,56.8020
free_adam_l2muon,free,adam,l2muon,20,3272.8094,54.5468,0.9091,36.7100,63.2900,56.0000,44.0000,19.2900,36.5940,55.7180
free_muon_l2,free,muon,l2,20,3659.7754,60.9963,1.0166,12.5600,87.4400,35.1600,64.8400,22.6000,7.1520,26.7660
free_muon_l2muon,free,muon,l2muon,20,3688.7632,61.4794,1.0247,12.8900,87.1100,34.2100,65.7900,21.3200,7.3520,26.0560
free_sgd_l2,free,sgd,l2,20,3221.5688,53.6928,0.8949,13.8600,86.1400,35.4400,64.5600,21.5800,8.7800,28.9640
free_sgd_l2muon,free,sgd,l2muon,20,3257.7663,54.2961,0.9049,13.5400,86.4600,35.0400,64.9600,21.5000,8.5480,28.0220
vanilla_adam_l2,vanilla,adam,l2,20,4034.8511,67.2475,1.1208,41.1400,58.8600,57.2600,42.7400,16.1200,40.2020,57.2660
vanilla_adam_l2muon,vanilla,adam,l2muon,20,4095.2811,68.2547,1.1376,39.9900,60.0100,54.2600,45.7400,14.2700,40.2940,54.7940
vanilla_muon_l2,vanilla,muon,l2,20,4155.1468,69.2524,1.1542,13.0700,86.9300,33.4200,66.5800,20.3500,6.9680,23.1320
vanilla_muon_l2muon,vanilla,muon,l2muon,20,4195.2569,69.9209,1.1653,13.1300,86.8700,32.9400,67.0600,19.8100,6.2860,21.4160
vanilla_sgd_l2,vanilla,sgd,l2,20,4040.3046,67.3384,1.1223,20.2000,79.8000,39.1200,60.8800,18.9200,16.9660,36.0140
vanilla_sgd_l2muon,vanilla,sgd,l2muon,20,4093.5787,68.2263,1.1371,18.4000,81.6000,37.2800,62.7200,18.8800,14.5360,32.6740
